2022-06-27 14:47:04 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:47:04 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:47:04 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:47:04 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:47:04 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 14:47:07 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:47:55 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:47:55 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:47:55 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:47:55 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:47:56 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 14:47:56 | 127.0.0.1 | GET | 200 - - | favicon-32x32.png 
2022-06-27 14:48:00 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:48:25 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 14:49:21 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:49:21 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:49:21 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:49:21 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:49:38 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:49:38 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:49:38 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:49:38 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:49:38 | 127.0.0.1 | GET | 200 - - | favicon-32x32.png 
2022-06-27 14:49:38 | 127.0.0.1 | GET | 200 - - | favicon-16x16.png 
2022-06-27 14:50:05 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:50:05 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:50:05 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:50:05 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:50:05 | 127.0.0.1 | GET | 200 - - | favicon-32x32.png 
2022-06-27 14:50:05 | 127.0.0.1 | GET | 200 - - | favicon-16x16.png 
2022-06-27 14:53:25 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:53:25 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:53:25 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:53:25 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:53:25 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 14:53:25 | 127.0.0.1 | GET | 200 - - | favicon-32x32.png 
2022-06-27 14:53:29 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:55:04 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:55:04 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:55:04 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:55:04 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:55:04 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 14:55:04 | 127.0.0.1 | GET | 200 - - | favicon-32x32.png 
2022-06-27 14:55:30 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:55:30 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:55:30 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:55:30 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:55:30 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 14:55:30 | 127.0.0.1 | GET | 200 - - | favicon-32x32.png 
2022-06-27 14:55:32 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:55:46 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
